No,UserDefined,Material,Current,CutCurrent,Gases,CutType,Thickness,PrePlasmaGas,PrePlasmaPressure,CutPlasmaGas,CutPlasmaPressure,ArcVoltage,WorkDistance,Feedrate,PierceHeight,PierceTime,KerfWidth,MicroJointThick,Nozzle,CreepTime
35,0,Aluminum,14,14.0,N2/N2,CUT,0.8,N2,20.0,N2,20.0,90,1.0,15000,2.0,0.1,0.1,0.5,1.5/0,False
36,0,Aluminum,14,14.0,N2/N2,CUT,1.0,N2,20.0,N2,20.0,90,1.0,15000,2.0,0.1,0.1,0.5,1.5/0,False
37,0,Aluminum,14,14.0,N2/N2,CUT,1.2,N2,20.0,N2,20.0,90,1.0,13000,2.0,0.1,0.1,0.5,1.5/0,False
38,0,Aluminum,14,14.0,N2/N2,CUT,1.5,N2,20.0,N2,20.0,90,1.0,1000,2.0,0.1,0.1,0.5,1.5/0,False
39,0,Aluminum,14,14.0,N2/N2,CUT,2.0,N2,20.0,N2,20.0,90,1.0,5000,2.0,0.1,0.1,0.5,1.5/0,False
40,0,Aluminum,14,14.0,N2/N2,CUT,2.5,N2,20.0,N2,20.0,90,1.0,2900,2.0,0.1,0.1,0.5,1.5/0,False
41,0,Aluminum,14,14.0,N2/N2,CUT,3.0,N2,3.0,N2,20.0,90,0.5,2200,2.0,0.2,0.1,0.5,1.5/-1,False
42,0,Aluminum,14,14.0,N2/N2,CUT,4.0,N2,20.0,N2,20.0,90,1.0,1000,2.0,0.1,0.1,0.5,1.5/+1,False
43,0,Aluminum,3,3.0,N2/N2,MARKING,0.0,N2,1.0,N2,1.0,90,1.0,7000,2.0,0.1,0.1,0.5,1.5/+1,False
44,0,Aluminum_Cov,8,8.0,N2/N2,CUT,1.0,N2,20.0,N2,20.0,90,1.0,15000,2.0,0.1,0.1,0.5,1.5/0,False
45,0,Aluminum_Cov,3,3.0,N2/N2,MARKING,0.0,N2,1.0,N2,1.0,90,1.0,7000,2.0,0.1,0.1,0.5,1.5/+1,False
46,0,Galvenized,8,8.0,N2/N2,CUT,0.5,N2,7.0,N2,7.0,90,1.0,15000,2.0,0.1,0.1,0.5,1.5/0,False
47,0,Galvenized,11,11.0,N2/N2,CUT,0.8,N2,20.0,N2,20.0,90,1.0,12500,2.0,0.1,0.1,0.5,1.5/0,False
48,0,Galvenized,11,11.0,N2/N2,CUT,1.0,N2,20.0,N2,20.0,90,1.0,15000,2.0,0.1,0.1,0.5,1.5/0,False
49,0,Galvenized,14,14.0,N2/N2,CUT,1.2,N2,20.0,N2,20.0,90,1.0,9000,2.0,0.1,0.1,0.6,1.5/0,False
50,0,Galvenized,14,14.0,N2/N2,CUT,1.5,N2,20.0,N2,20.0,90,1.0,8000,2.0,0.1,0.1,0.6,1.5/0,False
51,0,Galvenized,14,14.0,N2/N2,CUT,2.0,N2,20.0,N2,20.0,90,1.0,5500,2.0,0.1,0.1,0.6,1.5/0,False
52,0,Galvenized,14,14.0,N2/N2,CUT,2.5,N2,20.0,N2,20.0,90,1.0,4000,2.0,0.1,0.1,0.6,1.5/0,False
53,0,Galvenized,14,14.0,N2/N2,CUT,3.0,N2,20.0,N2,20.0,90,1.0,2500,2.0,0.1,0.1,0.6,1.5/-2,False
54,0,Galvenized,14,14.0,N2/N2,CUT,4.0,N2,20.0,N2,20.0,90,1.0,2200,2.0,0.1,0.1,0.6,1.5/-1,False
55,0,Galvenized,14,14.0,N2/N2,CUT,5.0,N2,20.0,N2,20.0,90,1.0,1500,2.0,0.1,0.1,0.6,1.5/-1,False
56,0,Galvenized,3,3.0,N2/N2,MARKING,0.0,N2,1.0,N2,1.0,135,7.0,15000,7.0,0.1,0.1,0.5,1.5/0,False
